"birthYear","nameFirst","nameLast","nameGiven","weight","height","bats","throws"
1915,"Wayne","Ambler","Wayne Harper",165,68,"R","R"
1979,"Chip","Ambres","Raymond Payne",190,73,"R","R"
1984,"Hector","Ambriz","Hector",235,74,"L","R"
1994,"Trey","Amburgey","Tommy Wayne",210,74,"R","R"
1959,"Ed","Amelung","Edward Allen",180,71,"L","L"
1882,"Red","Ames","Leon Kessling",185,70,"B","R"
1988,"Steve","Ames","Steven Charles",205,73,"R","R"
1978,"Alfredo","Amezaga","Alfredo",165,71,"B","R"
1874,"Doc","Amole","Morris F.",165,69,"R","L"
1932,"Vicente","Amor","Vicente",182,75,"R","R"
1930,"Sandy","Amoros","Edmundo",170,67,"L","L"
1893,"Walter","Ancker","Walter",190,73,"R","R"
1953,"Larry","Andersen","Larry Eugene",200,75,"R","R"
1914,"Alf","Anderson","Alfred Walton",165,71,"R","R"
1964,"Allan","Anderson","Allan Lee",178,71,"L","L"
1922,"Andy","Anderson","Andy Holm",172,71,"R","R"
1865,"Bill","Anderson","William",NA,NA,NA,NA
1895,"Bill","Anderson","William Edward",165,73,"R","L"
1935,"Bob","Anderson","Robert Carl",210,76,"R","R"
1964,"Brady","Anderson","Brady Kevin",170,73,"L","L"
1988,"Brett","Anderson","Brett Franklin",230,76,"L","L"
1972,"Brian","Anderson","Brian James",190,73,"B","L"
1982,"Brian","Anderson","Brian Nikola",220,74,"R","R"
1993,"Brian","Anderson","Brian Wade",208,75,"R","R"
1986,"Bryan","Anderson","Bryan Douglas",200,73,"L","R"
1956,"Bud","Anderson","Karl Adam",210,75,"R","R"
1987,"Chase","Anderson","Robert Chase",210,73,"R","R"
1990,"Cody","Anderson","Cody Andrew",240,76,"R","R"
1938,"Craig","Anderson","Norman Craig",205,74,"R","R"
1960,"Dave","Anderson","David Carter",185,74,"R","R"
1868,"Dave","Anderson","David S.",NA,NA,NA,"L"
1994,"Drew","Anderson","Andrew James",205,75,"R","R"
1981,"Drew","Anderson","Drew Thomas",195,74,"L","R"
1947,"Dwain","Anderson","Dwain Cleaven",165,71,"R","R"
1918,"Ferrell","Anderson","Ferrell Jack",200,73,"R","R"
1885,"Fred","Anderson","John Frederick",180,74,"R","R"
1972,"Garret","Anderson","Garret Joseph",190,75,"L","L"
1889,"George","Anderson","George Jendrus",160,68,"L","R"
1880,"Goat","Anderson","Edward John",NA,NA,"L","R"
1997,"Grant","Anderson","Grant Reed",180,72,"R","R"
1904,"Hal","Anderson","Harold",160,71,"R","R"
1931,"Harry","Anderson","Harry Walter",205,75,"L","R"
1998,"Ian","Anderson","Ian Theodore",170,75,"R","R"
1979,"Jason","Anderson","Jason Roger",188,72,"L","R"
1957,"Jim","Anderson","James Lea",170,72,"R","R"
1976,"Jimmy","Anderson","James Drew",195,73,"L","L"
1929,"John","Anderson","John Charles",190,73,"R","R"
1873,"John","Anderson","John Joseph",180,74,"B","R"
1982,"Josh","Anderson","Joshua Aaron",195,74,"L","R"
1992,"Justin","Anderson","Justin Charles",230,75,"L","R"
1963,"Kent","Anderson","Kent McKay",180,73,"R","R"
1952,"Larry","Anderson","Lawrence Dennis",190,75,"R","R"
1987,"Lars","Anderson","Lars Eric",215,76,"L","L"
1974,"Marlon","Anderson","Marlon Ordell",190,70,"L","R"
1976,"Matt","Anderson","Matthew Jason",200,76,"R","R"
